2019-02-04 22:32:14,430 (7f2c90ff9700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.movieposterdb'
2019-02-04 22:32:14,430 (7f2c90ff9700) :  WARNING (agentservice:161) - We weren't able to get information from the server about the agents.
2019-02-04 22:32:14,430 (7f2c73fff700) :  INFO (agentservice:159) - Agents in com.plexapp.agents.lastfm not in info dictionary - pinging!
2019-02-04 22:32:14,431 (7f2c73fff700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.lastfm'
2019-02-04 22:32:14,432 (7f2c73fff700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.lastfm'
2019-02-04 22:32:14,432 (7f2c73fff700) :  WARNING (agentservice:161) - We weren't able to get information from the server about the agents.
2019-02-04 22:32:14,433 (7f2c737fe700) :  INFO (agentservice:159) - Agents in com.plexapp.agents.plexmusic not in info dictionary - pinging!
2019-02-04 22:32:14,433 (7f2c737fe700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.plexmusic'
2019-02-04 22:32:14,434 (7f2c737fe700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.plexmusic'
2019-02-04 22:32:14,435 (7f2c737fe700) :  WARNING (agentservice:161) - We weren't able to get information from the server about the agents.
2019-02-04 22:32:14,435 (7f2c72ffd700) :  INFO (agentservice:159) - Agents in com.plexapp.agents.imdb not in info dictionary - pinging!
2019-02-04 22:32:14,435 (7f2c72ffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.imdb'
2019-02-04 22:32:14,437 (7f2c72ffd700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.imdb'
2019-02-04 22:32:14,437 (7f2c72ffd700) :  WARNING (agentservice:161) - We weren't able to get information from the server about the agents.
2019-02-04 22:32:14,437 (7f2cb3fff700) :  DEBUG (runtime:924) - Response: [200] MediaContainer, 130 bytes
2019-02-04 22:32:14,544 (7f2cd177a700) :  DEBUG (preferences:258) - Loaded preferences from DefaultPrefs.json
